id,itemCode,skill,cefrLevel,type,status,reason,imageDescription,prompt
cmoukee8p0002nu2j9wo7knzq,,SPEAKING,PRE_A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:look at the picture,"a picture with red, blue, yellow, green objects]","Look at the picture. What colours can you see? Say the colours. [EXAMINER: show a picture with red, blue, yellow, green "
cmoukeea30003nu2j8lb0l5lc,,SPEAKING,PRE_A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:look at the picture,"a picture with a dog, cat, bird, and fish]","Look at the picture. Name the animals you can see. [EXAMINER: show a picture with a dog, cat, bird, and fish]"
cmoukeels000anu2ji7a311zs,,SPEAKING,PRE_A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:look at the picture,"a picture of sunny weather]","Look at the picture. What is the weather like? [EXAMINER: show a picture of sunny weather] Say one or two words to descr"
cmoukeeom000cnu2jspik1vjj,,SPEAKING,PRE_A1,SPEAKING_PROMPT,ACTIVE,speaking_visual:look at the picture,"a picture with 3 cats]","Look at the picture. How many cats are there? [EXAMINER: show a picture with 3 cats] Say: 'There are ___ cats.'"
cmp0bhxgq0062nuc67yh1dqyj,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at this picture,"a red train","Look at this picture. What do you see?  [Image description: A simple, clear illustration of a red train. Inside the trai"
cmp0bhxia0063nuc6qz20f39j,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"a green tree and a small red house in the distance","Look at the picture.  [Image description: A simple, cartoon-style illustration showing two adults (one man, one woman) s"
cmp0bhxjv0064nuc6fps3ymjw,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. Tell me what you see.","Look at the picture. Tell me what you see."
cmp0bne4t0069nuc6ck8ff8el,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"a gender-neutral figure (e","Image: A simple, clear, culturally neutral illustration of a gender-neutral figure (e.g., a simple cartoon or stick figu"
cmp0bne6b006anuc6u9srskv7,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. This person draws. What do you like?","Look at the picture. This person draws. What do you like?"
cmp0brlso006fnuc6fya8nqkw,,SPEAKING,PRE_A1,SPEAKING_PROMPT,PRETEST,speaking_visual:look at the picture,"Look at the picture. What can you see?","Look at the picture. What can you see?"
